latitude longitude altitude speed bearing time
-22.89667172 -47.06771515 688.4 1.2000000476837158 36.0 1.319712998E12
-22.89666123 -47.06770337 688.8 1.2999999523162842 36.5 1.319712999E12
-22.89664245 -47.06769382 689.6 1.600000023841858 24.399999618530273 1.319713E12
-22.89664316 -47.0676896 687.0 1.2999999523162842 37.0 1.319713001E12
-22.89663535 -47.06768158 686.2 1.2999999523162842 36.599998474121094 1.319713002E12
-22.8966202 -47.06767783 687.4 1.2000000476837158 32.70000076293945 1.319713003E12
-22.89661072 -47.06766942 687.7 1.2000000476837158 34.70000076293945 1.319713004E12
-22.89659942 -47.06766005 688.6 1.600000023841858 39.70000076293945 1.319713005E12
-22.89657384 -47.06765052 688.6 1.7000000476837158 31.299999237060547 1.319713006E12
-22.89656028 -47.06763507 689.2 1.7000000476837158 34.099998474121094 1.319713007E12
-22.89655265 -47.06762899 689.5 1.399999976158142 27.899999618530273 1.319713008E12
-22.89654396 -47.06762 688.4 1.399999976158142 44.5 1.319713009E12
-22.89653889 -47.06761389 687.3 1.100000023841858 36.0 1.31971301E12
-22.89652621 -47.06760111 687.2 1.7000000476837158 38.0 1.319713011E12
-22.89651887 -47.06759068 686.7 1.5 37.0 1.319713012E12
-22.89651044 -47.06758005 686.6 1.399999976158142 38.70000076293945 1.319713013E12
-22.89650212 -47.06757039 686.7 1.399999976158142 42.900001525878906 1.319713014E12
-22.89649054 -47.06755728 686.6 1.399999976158142 42.20000076293945 1.319713015E12
-22.89648322 -47.06754598 685.6 1.399999976158142 43.5 1.319713016E12
-22.89647813 -47.06753667 685.8 1.2999999523162842 44.29999923706055 1.319713017E12
-22.89646903 -47.06752596 685.4 1.2999999523162842 44.599998474121094 1.319713018E12
-22.89646016 -47.06751982 684.3 1.2999999523162842 34.0 1.319713019E12
-22.89645317 -47.06750773 683.9 1.2999999523162842 43.79999923706055 1.31971302E12
-22.89645161 -47.06749182 683.2 1.5 34.79999923706055 1.319713021E12
-22.89644446 -47.06748044 681.7 1.399999976158142 32.0 1.319713022E12
-22.89643545 -47.06746738 681.4 1.600000023841858 38.900001525878906 1.319713023E12
-22.8964304 -47.06745996 681.0 1.5 37.5 1.319713024E12
-22.89642428 -47.06744514 680.6 1.5 36.20000076293945 1.319713025E12
-22.8964189 -47.06743535 680.5 1.600000023841858 37.0 1.319713026E12
-22.89640819 -47.06742454 679.8 1.600000023841858 37.20000076293945 1.319713027E12
-22.89639661 -47.06741769 680.8 1.5 31.600000381469727 1.319713028E12
-22.89638666 -47.06740792 679.0 1.2999999523162842 34.70000076293945 1.319713029E12
-22.896377 -47.06740259 678.5 1.2999999523162842 34.20000076293945 1.31971303E12
-22.89636589 -47.06739557 677.9 1.2999999523162842 34.29999923706055 1.319713031E12
-22.89635686 -47.06738167 677.6 1.2999999523162842 42.20000076293945 1.319713032E12
-22.89634444 -47.06737662 677.4 1.2999999523162842 35.20000076293945 1.319713033E12
-22.89633259 -47.0673682 676.8 1.2999999523162842 35.70000076293945 1.319713034E12
-22.89632534 -47.06736601 676.9 1.2000000476837158 32.900001525878906 1.319713035E12
-22.89631075 -47.0673633 676.8 1.2000000476837158 28.100000381469727 1.319713036E12
-22.89629039 -47.06736122 676.6 1.2999999523162842 22.899999618530273 1.319713037E12
-22.89628258 -47.06735053 676.5 1.2999999523162842 30.700000762939453 1.319713038E12
-22.8962683 -47.067334 676.4 1.399999976158142 38.20000076293945 1.319713039E12
-22.89625425 -47.0673317 676.4 1.399999976158142 32.5 1.31971304E12
