    latitude   longitude altitude speed bearing accuracy    timestamp
-22,96989813-47,00843955    694,9   1,8   151,0      8,01322431843000
-22,96992584-47,00843023    695,7   1,7   154,6      8,01322431845000
-22,96993987-47,00842844    695,9   1,6   160,0      8,01322431846000
-22,96995008-47,00842871    696,1   1,5   161,9     12,01322431847000
-22,96997112-47,00842332    696,3   1,3   165,2     12,01322431849000
-22,97000138-47,00845050    698,4   1,9   184,8     12,01322431850000
-22,97001855-47,00845206    698,6   1,9   184,8     16,01322431851000
-22,97004022-47,00848171    698,7   2,0   195,7     16,01322431852000
-22,97004702-47,00847396    699,2   1,8   191,8     16,01322431853000
-22,97005227-47,00848796    699,5   1,8   203,1     24,01322431854000
-22,97005825-47,00850233    699,4   1,8   214,0     24,01322431855000
-22,97007337-47,00851859    699,1   1,9   218,2     24,01322431856000
-22,97009085-47,00854382    699,1   2,1   221,4     32,01322431857000
-22,97010541-47,00855768    699,1   2,1   221,4     32,01322431858000
-22,97011061-47,00859633    699,1   2,4   230,4     32,01322431859000
-22,97011385-47,00863293    698,9   2,5   237,6     24,01322431860000
-22,97012876-47,00865680    698,4   2,5   240,7     24,01322431861000
-22,97015621-47,00867706    699,3   2,6   237,8     24,01322431862000
-22,97016843-47,00870522    699,3   2,7   238,9     24,01322431863000
-22,97016335-47,00871322    699,5   2,4   241,6     24,01322431864000
-22,97018355-47,00874298    699,3   2,3   242,4     24,01322431865000
-22,97020213-47,00876893    699,3   2,5   240,6     24,01322431866000
-22,97021667-47,00878440    699,4   2,3   240,9     24,01322431867000
-22,97022708-47,00880467    699,4   2,3   240,9     24,01322431868000
-22,97024231-47,00882699    699,9   2,4   242,6     24,01322431869000
-22,97024080-47,00884740    700,2   2,2   245,2     16,01322431870000
-22,97025271-47,00886879    700,3   2,1   239,8     12,01322431871000
-22,97024387-47,00888946    700,1   1,9   240,7     12,01322431872000
-22,97024570-47,00890210    699,9   1,6   239,1     12,01322431873000
